master_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,0
CCO.C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,0,1
CCO.C\C=C/C.C\C=C\C.CC(C=C),0,1,0,0,0
CCO.C\C=C/C.C\C=C\C.CC(C=C),1,0,0,0,0
CCO.C\C=C/C.C\C=C\C.CC(C=C),0,1,0,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,0,0,0,1
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,0,1,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,0,1,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,1,0,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,1,0,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,0,1,0,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,1,0,0,0,0
C\C=C/C.C\C=C\C.CC(C=C).[Si](C)(C)O,1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,1,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,0
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC(c1ncccc1).CC(c1ccncc1),0,0,0,0,1
CC.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,1
CC.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,1
CC.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,1
CC.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,1
CCC(C)C.CC(C(C)C).CC(C)(CC).CC(CC),1,0,0,0,1
CCC(C)C.CC(C(C)C).CC(C)(CC).CC(CC),1,0,0,0,1
CCC(C)C.CC(C(C)C).CC(C)(CC).CC(CC),1,0,0,0,1
CCC(C)C.CC(C(C)C).CC(C)(CC).CC(CC),1,0,0,0,1
CC.CC(CC),1,0,0,0,1
CC.CC(CC),1,0,0,0,1
CCO.C(CC)CO,1,0,0,0,1
CCO.C(CC)CO,1,0,0,0,1
CCO.C(CC)CO,1,0,0,0,1
CCO.C(CC)CO,1,0,0,0,1
CCO.C(CC)CO,1,0,0,0,1
